Date,Site,Phylum,Class,Order,ScientificName,Comment1,Comment2,Dyntaxa ID,Density(n/l),Biovol.(µm³/l),Freshweight(mg/l),Analysis method,Analysis laboratory,Mesured length (µm)
160120,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Calanoida,sp,copepodit,3000208,0.3,9991144.3,0.00999,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,860
160120,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,naupliuslarv,3000209,1.7,1675715.9,0.00168,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,181
160120,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Eudiaptomus graciloides,,,263767,1,38965462.7,0.03897,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,1118
160120,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Eudiaptomus graciloides,,male,263767,1.3,47957492.6,0.04796,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,1032
160120,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Keratella cochlearis,,,233670,1,97075.2,0.0001,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,103
160120,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Polyarthra vulgaris,,,257296,1.7,888720,0.00089,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,112
160120,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,<120µm,1009427,4.7,1319244.1,0.00132,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,103
160120,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,>120µm,1009427,1.3,467286.1,0.00047,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,138
160215,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Calanoida,sp,copepodit,3000208,1.3,39964577.1,0.04,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,860
160215,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,naupliuslarv,3000209,1.7,1675715.9,0.0017,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,181
160215,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Eudiaptomus graciloides,,,263767,1,38965462.7,0.039,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,1118
160215,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Eudiaptomus graciloides,,male,263767,0.7,15248112.6,0.0152,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,945
160215,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,<120µm,1009427,2.7,753853.8,0.0008,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,103
160215,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,>120µm,1009427,1,350464.6,0.0004,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,138
160215,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Keratella quadrata,,,233764,0.7,442698.7,0.0004,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,112
160314,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,copepodit,3000209,0.3,2079672.2,0.00208,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,559
160314,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,naupliuslarv,3000209,3.7,3686575,0.00369,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,181
160314,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,<120µm,1009427,2.3,659622.1,0.00066,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,103
160314,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,>120µm,1009427,3.3,2211234.4,0.00221,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,146
160314,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Kellicottia longispina,,,233703,0.3,30439.9,0.00003,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,129
160314,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Keratella quadrata,,,233764,0.7,442698.7,0.00044,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,112
160322,Erken bojen 0-20,Arthropoda,Branchiopoda,Cladocera,Daphnia,sp,,1009426,0.3,59835853,0.05984,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,946
160322,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Calanoida,sp,naupliuslarv,3000208,4.7,10266445.5,0.01027,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,309.5
160322,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,naupliuslarv,3000209,4.7,4585640.7,0.00459,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,175
160322,Erken bojen 0-20,Rotifera,Monogononta,Flosculariacea,Conochilus,sp,,1013030,0.3,57687.8,0.00006,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,103
160322,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Keratella cochlearis,,,233670,1,97075.2,0.0001,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,103
160322,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Polyarthra,spp,,1009465,1,452295,0.00045,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,95
160322,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,<120µm,1009427,14,4287298.6,0.00429,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,105.3
160322,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,>120µm,1009427,12.3,7105220.7,0.00711,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,135.3
160322,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Keratella quadrata,,,233764,1.3,885397.3,0.00089,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,112
160330,Erken bojen 0-20,Arthropoda,Branchiopoda,Cladocera,Chydorus,sp,,1011367,0.3,1608498.6,0.00161,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,258
160330,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Calanoida,sp,naupliuslarv,3000208,4,8799810.5,0.0088,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,309.5
160330,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Copepoda,,naupliuslarv,3000207,2.7,3012533.2,0.00301,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,172
160330,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,naupliuslarv,3000209,6,5827447,0.00583,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,172
160330,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Keratella cochlearis,,,233670,2,194150.4,0.00019,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,103
160330,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Polyarthra,spp,,1009465,5,2261475,0.00226,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,95
160330,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,<120µm,1009427,27.7,8472518.6,0.00847,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,105.3
160330,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,>120µm,1009427,33.7,19395332.2,0.0194,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,135.3
