id,Date,Sample,Exp,Mesocosm,Mes_ID,Replicate,Time_point,Date_analysed,Box,Comments,,,,,,
37,20220712,Ex1_D2a_T00_0.8,1,D2,,a,T00,,,,,,,,,Manually
38,20220712,Ex1_D2b_T00_0.8,1,D2,,b,T00,,,,,,,,,
39,20220712,Ex1_D2c_T00_0.8,1,D2,,c,T00,,,,,,,,,
40,20220712,Ex1_D3a_T00_0.8,1,D3,,a,T00,,,,,,,,,
41,20220712,Ex1_D3b_T00_0.8,1,D3,,b,T00,,,,,,,,,
42,20220712,Ex1_D3c_T00_0.8,1,D3,,c,T00,,,,,,,,,
43,20220712,Ex1_D4a_T00_0.8,1,D4,,a,T00,,,,,,,,,
44,20220712,Ex1_D4b_T00_0.8,1,D4,,b,T00,,,,,,,,,
45,20220712,Ex1_D4c_T00_0.8,1,D4,,c,T00,,,,,,,,,
46,20220712,Ex1_C1a_T00_0.8,1,C1,,a,T00,,,,,,,,,
47,20220712,Ex1_C1b_T00_0.8,1,C1,,b,T00,,,,,,,,,
48,20220712,Ex1_C1c_T00_0.8,1,C1,,c,T00,,,,,,,,,
49,20220712,Ex1_C2a_T00_0.8,1,C2,,a,T00,,,,,,,,,
50,20220712,Ex1_C2b_T00_0.8,1,C2,,b,T00,,,,,,,,,
51,20220712,Ex1_C2c_T00_0.8,1,C2,,c,T00,,,,,,,,,
52,20220712,Ex1_C4a_T00_0.8,1,C4,,a,T00,,,,,,,,,
53,20220712,Ex1_C4b_T00_0.8,1,C4,,b,T00,,2,Terrible,20221028,,,,,
54,20220712,Ex1_C4c_T00_0.8,1,C4,,c,T00,,,,,,,,,
55,20220712,Ex1_I1a_T00_0.8,1,I1,,a,T00,,,,,,,,,
56,20220712,Ex1_I1b_T00_0.8,1,I1,,b,T00,,,,,,,,,
57,20220712,Ex1_I1c_T00_0.8,1,I1,,c,T00,,,,,,,,,
58,20220712,Ex1_I3a_T00_0.8,1,I3,,a,T00,,1,,20221024,,,,,
59,20220712,Ex1_I3b_T00_0.8,1,I3,,b,T00,,,,,,,,,
60,20220712,Ex1_I3c_T00_0.8,1,I3,,c,T00,,,,,,,,,
61,20220712,Ex1_I4a_T00_0.8,1,I4,,a,T00,,,,,,,,,
62,20220712,Ex1_I4b_T00_0.8,1,I4,,b,T00,,,,,,,,,
63,20220712,Ex1_I4c_T00_0.8,1,I4,,c,T00,,,,,,,,,
64,20220712,Ex1_E1a_T00_0.8,1,E1,,a,T00,,,,,,,,,
65,20220712,Ex1_E1b_T00_0.8,1,E1,,b,T00,,,,,,,,,
66,20220712,Ex1_E1c_T00_0.8,1,E1,,c,T00,,,,,,,,,
67,20220712,Ex1_E2a_T00_0.8,1,E2,,a,T00,,,,,,,,,
68,20220712,Ex1_E2b_T00_0.8,1,E2,,b,T00,,,,,,,,,
69,20220712,Ex1_E2c_T00_0.8,1,E2,,c,T00,,,,,,,,,
70,20220712,Ex1_E3a_T00_0.8,1,E3,,a,T00,,,,,,,,,
71,20220712,Ex1_E3b_T00_0.8,1,E3,,b,T00,,,,,,,,,
72,20220712,Ex1_E3c_T00_0.8,1,E3,,c,T00,,,,,,,,,
73,20220712,Ex1_D2a_T30_0.8,1,D2,,a,T30,,,,,,,,,
74,20220712,Ex1_D2b_T30_0.8,1,D2,,b,T30,,,,,,,,,
75,20220712,Ex1_D2c_T30_0.8,1,D2,,c,T30,,1,,20221024,,,,,
76,20220712,Ex1_D3a_T30_0.8,1,D3,,a,T30,,,,,,,,,
77,20220712,Ex1_D3b_T30_0.8,1,D3,,b,T30,,,,,,,,,
78,20220712,Ex1_D3c_T30_0.8,1,D3,,c,T30,,,,,,,,,
79,20220712,Ex1_D4a_T30_0.8,1,D4,,a,T30,,,,,,,,,
80,20220712,Ex1_D4b_T30_0.8,1,D4,,b,T30,,,,,,,,,
81,20220712,Ex1_D4c_T30_0.8,1,D4,,c,T30,,,,,,,,,
82,20220712,Ex1_C1a_T30_0.8,1,C1,,a,T30,,,,,,,,,
83,20220712,Ex1_C1b_T30_0.8,1,C1,,b,T30,,,,,,,,,
84,20220712,Ex1_C1c_T30_0.8,1,C1,,c,T30,,,,,,,,,
85,20220712,Ex1_C2a_T30_0.8,1,C2,,a,T30,,,,20221027,,,,,
86,20220712,Ex1_C2b_T30_0.8,1,C2,,b,T30,,,,,,,,,
87,20220712,Ex1_C2c_T30_0.8,1,C2,,c,T30,,,,,,,,,
88,20220712,Ex1_C4a_T30_0.8,1,C4,,a,T30,,,,,,,,,
89,20220712,Ex1_C4b_T30_0.8,1,C4,,b,T30,20221123,,,,,,,,
90,20220712,Ex1_C4c_T30_0.8,1,C4,,c,T30,,,,,,,,,
91,20220712,Ex1_I1a_T30_0.8,1,I1,,a,T30,,,,,,,,,
92,20220712,Ex1_I1b_T30_0.8,1,I1,,b,T30,,,,,,,,,
93,20220712,Ex1_I1c_T30_0.8,1,I1,,c,T30,,,,,,,,,
94,20220712,Ex1_I3a_T30_0.8,1,I3,,a,T30,,,,,,,,,
95,20220712,Ex1_I3b_T30_0.8,1,I3,,b,T30,,,,,,,,,
96,20220712,Ex1_I3c_T30_0.8,1,I3,,c,T30,,,,,,,,,
97,20220712,Ex1_I4a_T30_0.8,1,I4,,a,T30,,,,,,,,,
98,20220712,Ex1_I4b_T30_0.8,1,I4,,b,T30,,,,,,,,,
99,20220712,Ex1_I4c_T30_0.8,1,I4,,c,T30,,,,,,,,,
100,20220712,Ex1_E1a_T30_0.8,1,E1,,a,T30,,,,,,,,,
101,20220712,Ex1_E1b_T30_0.8,1,E1,,b,T30,,,,,,,,,
102,20220712,Ex1_E1c_T30_0.8,1,E1,,c,T30,,,,,,,,,
103,20220712,Ex1_E2a_T30_0.8,1,E2,,a,T30,,,,,,,,,
104,20220712,Ex1_E2b_T30_0.8,1,E2,,b,T30,,,,,,,,,
105,20220712,Ex1_E2c_T30_0.8,1,E2,,c,T30,,,,,,,,,
106,20220712,Ex1_E3a_T30_0.8,1,E3,,a,T30,,,,,,,,,
107,20220712,Ex1_E3b_T30_0.8,1,E3,,b,T30,,,,,,,,,
108,20220712,Ex1_E3c_T30_0.8,1,E3,,c,T30,,,,,,,,,
145,20220720,Ex2_D2a_T00_0.8,2,D2,8,a,T00,,,,,,,,,
146,20220720,Ex2_D2b_T00_0.8,2,D2,8,b,T00,,,,,,,,,
147,20220720,Ex2_D2c_T00_0.8,2,D2,8,c,T00,20221129,3,,,,,,,
148,20220720,Ex2_D3a_T00_0.8,2,D3,11,a,T00,,,,,,,,,
149,20220720,Ex2_D3b_T00_0.8,2,D3,11,b,T00,20221128,3,,,,,,,
150,20220720,Ex2_D3c_T00_0.8,2,D3,11,c,T00,,,,,,,,,
151,20220720,Ex2_D4a_T00_0.8,2,D4,13,a,T00,20221123,4,,,,,,,
152,20220720,Ex2_D4b_T00_0.8,2,D4,13,b,T00,,,,,,,,,
153,20220720,Ex2_D4c_T00_0.8,2,D4,13,c,T00,,,,,,,,,
154,20220720,Ex2_C1a_T00_0.8,2,C1,1,a,T00,,,,,,,,,
155,20220720,Ex2_C1b_T00_0.8,2,C1,1,b,T00,,,,,,,,,
156,20220720,Ex2_C1c_T00_0.8,2,C1,1,c,T00,20221130,3,,,,,,,
157,20220720,Ex2_C2a_T00_0.8,2,C2,7,a,T00,,,,,,,,,
158,20220720,Ex2_C2b_T00_0.8,2,C2,7,b,T00,,,,,,,,,
159,20220720,Ex2_C2c_T00_0.8,2,C2,7,c,T00,20221128,3,,,,,,,
160,20220720,Ex2_C4a_T00_0.8,2,C4,16,a,T00,20221128,4,,,,,,,
